nodes,interval,blocksize,SBR,throughput,theoretical_throughput
200,150000,5350000,0.12,0.006650282292291124,0.006666666666666666
200,185000,5350000,0.11,0.004834022702568674,0.005405405405405405
200,85000,5350000,0.2,0.00966579265347563,0.011764705882352941
200,295000,5350000,0.07,0.003182955418030426,0.003389830508474576
200,280000,5350000,0.06,0.0030720266126685897,0.0035714285714285713
200,195000,5350000,0.07,0.004708985038549949,0.005128205128205128
200,10000,5350000,0.65,0.03487490558614067,0.1
200,215000,5350000,0.11,0.00397984695710785,0.004651162790697674
200,180000,5350000,0.1,0.0050139329482889955,0.005555555555555556
200,240000,5350000,0.07,0.003810295739152031,0.004166666666666667
200,225000,5350000,0.07,0.004005722842701272,0.0044444444444444444
200,175000,5350000,0.09,0.005191680567247173,0.005714285714285714
200,250000,5350000,0.07,0.003819287995091756,0.004
200,75000,5350000,0.23,0.009866925109939747,0.013333333333333332
200,260000,5350000,0.08,0.003885564781023233,0.003846153846153846
200,165000,5350000,0.13,0.005418779107021812,0.006060606060606061
200,190000,5350000,0.09,0.004689426056283025,0.005263157894736842
200,285000,5350000,0.05,0.003374435760596471,0.0035087719298245615
200,125000,5350000,0.14,0.006572910668885682,0.008
200,5000,5350000,0.81,0.04043446283908941,0.2
200,265000,5350000,0.07,0.003467604248291422,0.0037735849056603774
200,275000,5350000,0.06,0.0032144951271629095,0.0036363636363636364
200,95000,5350000,0.16,0.00839149994760907,0.010526315789473684
200,60000,5350000,0.26,0.013150890458228485,0.016666666666666666
200,210000,5350000,0.09,0.004409859387223579,0.0047619047619047615
200,45000,5350000,0.3,0.014484743629935659,0.022222222222222223
200,255000,5350000,0.08,0.003909738270521281,0.00392156862745098
200,130000,5350000,0.13,0.006711773363280371,0.007692307692307692
200,135000,5350000,0.14,0.006164182887936532,0.007407407407407408
200,160000,5350000,0.1,0.0053230665810410005,0.00625
200,100000,5350000,0.2,0.008195262957714656,0.01
200,120000,5350000,0.1,0.007326427768138098,0.008333333333333333
200,140000,5350000,0.16,0.00608218059960772,0.007142857142857143
200,70000,5350000,0.19,0.011913078841113164,0.014285714285714285
200,30000,5350000,0.38,0.019284368650018986,0.03333333333333333
200,220000,5350000,0.09,0.004185857602900833,0.004545454545454545
200,50000,5350000,0.33,0.014986545079827333,0.02
200,290000,5350000,0.05,0.003200699203409982,0.0034482758620689655
200,200000,5350000,0.06,0.0043980470032477376,0.005
200,235000,5350000,0.07,0.003737316808097739,0.00425531914893617
200,270000,5350000,0.09,0.003732954304085114,0.003703703703703704
200,145000,5350000,0.14,0.005788011530953745,0.006896551724137931
200,65000,5350000,0.23,0.011523440290833195,0.015384615384615384
200,35000,5350000,0.37,0.01854399246965554,0.02857142857142857
200,105000,5350000,0.16,0.008831907515090711,0.009523809523809523
200,20000,5350000,0.5,0.02522456849270252,0.05
200,25000,5350000,0.41,0.02298359148364925,0.04
200,115000,5350000,0.11,0.007564696117961854,0.008695652173913042
200,80000,5350000,0.21,0.010439320836639992,0.0125
200,90000,5350000,0.17,0.009481376001758732,0.011111111111111112
200,155000,5350000,0.11,0.005493596233898064,0.0064516129032258064
200,40000,5350000,0.33,0.017306840944247396,0.025
200,15000,5350000,0.58,0.028156992087414373,0.06666666666666667
200,205000,5350000,0.09,0.004745948431283698,0.004878048780487805
200,55000,5350000,0.26,0.012749188195441656,0.01818181818181818
200,230000,5350000,0.08,0.004031977506081331,0.004347826086956521
200,170000,5350000,0.13,0.005334695032022574,0.0058823529411764705
200,110000,5350000,0.13,0.007853219145781794,0.00909090909090909
200,245000,5350000,0.07,0.003941322380661192,0.004081632653061224
